fips,feat,event_name,event_date,event_date_centered,target_before,target_diff_actual,target_diff_expected,intervention_effect,intervention_percent,neighbor_count,matched_diff_avg,matched_diff_std,change_in_stddevs,significant,cfips,mmwr_week,pblack,pfem,p65old,phisp,unemployment_rate_2018,ses,year,time,nw_var_2019,svar,lnurban,repvshare,ses3,anx_z,dep_z,ang_z
26077,Anxiety,First Covid Death,2020-03-30,2020-03-29,0.7795169748242802,-0.3415694357271616,0.6712890314821301,-0.23334149238501156,-34.76,5,-0.10822794334215007,0.2930455676931579,-2.2930774148715303,False,26077,27.0,13.479336738586426,51.025508880615234,6.650307655334473,4.469037055969238,3.3999999999999964,0.777140200138092,2019.5047619047618,0.9965776889629308,3.408684492111206,-0.15541143715381622,2.2758095264434814,39.62165451049805,3,-0.01593715353381066,0.1116540679630513,-0.07933029167553676
26077,Depression,First Covid Death,2020-03-30,2020-03-29,0.5542025232120882,-0.04496277361738166,0.6475232108198528,-0.13828346122514623,-21.36,5,0.0933206876077646,0.1978783332354496,-1.5040513576038659,False,26077,27.0,13.479336738586426,51.025508880615234,6.650307655334473,4.469037055969238,3.3999999999999964,0.777140200138092,2019.5047619047618,0.9965776889629308,3.408684492111206,-0.15541143715381622,2.2758095264434814,39.62165451049805,3,-0.01593715353381066,0.1116540679630513,-0.07933029167553676
01089,Anxiety,First Covid Death,2020-03-26,2020-03-22,0.36398557086591976,-0.07015902542050378,0.44344221634871883,-0.14961567090330286,-33.74,6,0.07945664548279906,0.29648535027309003,-0.792428398059075,False,1089,26.0,25.658428192138672,51.06359100341797,6.6922149658203125,4.71527099609375,3.5,1.2150375843048096,2019.5047619047618,0.9965776889629308,5.445450782775879,-1.7251825332641602,2.241182327270508,52.770748138427734,3,-0.18422247667331249,-0.137003162966132,-0.16973790207966452
01089,Depression,First Covid Death,2020-03-26,2020-03-22,0.32280737442799934,0.07310250816978969,0.6003560754783461,-0.2044461928805571,-34.05,6,0.27754870105034674,0.14592529109458457,-1.5304657280246414,False,1089,26.0,25.658428192138672,51.06359100341797,6.6922149658203125,4.71527099609375,3.5,1.2150375843048096,2019.5047619047618,0.9965776889629308,5.445450782775879,-1.7251825332641602,2.241182327270508,52.770748138427734,3,-0.18422247667331249,-0.137003162966132,-0.16973790207966452
06097,Anxiety,First Covid Death,2020-03-20,2020-03-15,0.4269251066878349,0.3049952660762072,0.8384166003585645,-0.10649622759452237,-12.7,8,0.41149149367072957,0.18919209806586243,-0.6214916353731144,False,6097,16.0,2.841252088546753,50.99620819091797,8.1221342086792,25.810754776000977,2.6999999999999944,1.2333234548568726,2019.5047619047618,0.9965776889629308,0.05067400634288788,0.033451080322265625,1.8151949644088745,23.04177474975586,3,-0.06622998105095966,0.03513182159956722,-0.1514351902402095
06097,Depression,First Covid Death,2020-03-20,2020-03-15,0.4877022447388687,0.294444531704973,0.9145634296398898,-0.13241665319604812,-14.48,8,0.4268611849010211,0.1313920050055963,-0.9226856618230883,False,6097,16.0,2.841252088546753,50.99620819091797,8.1221342086792,25.810754776000977,2.6999999999999944,1.2333234548568726,2019.5047619047618,0.9965776889629308,0.05067400634288788,0.033451080322265625,1.8151949644088745,23.04177474975586,3,-0.06622998105095966,0.03513182159956722,-0.1514351902402095
42003,Anxiety,First Covid Death,2020-03-21,2020-03-15,0.6468393191644928,0.11904828380582866,0.8974367090779911,-0.13154910610766968,-14.66,8,0.25059738991349834,0.19606294971423513,-0.9031509253477285,False,42003,38.0,14.673593521118164,51.895023345947266,8.703085899353027,1.8221849203109741,4.0,0.5956084728240967,2019.5047619047618,0.9965776889629308,0.4038586914539337,0.6326320767402649,3.5899198055267334,39.22621154785156,3,-0.07252652013904437,0.027220041415698473,-0.11261367897636124
42003,Depression,First Covid Death,2020-03-21,2020-03-15,0.4250585411359439,0.2776071156501989,0.7824213496354817,-0.07975569284933892,-10.19,8,0.3573628084995379,0.07568012180008495,-0.6564779884866687,False,42003,38.0,14.673593521118164,51.895023345947266,8.703085899353027,1.8221849203109741,4.0,0.5956084728240967,2019.5047619047618,0.9965776889629308,0.4038586914539337,0.6326320767402649,3.5899198055267334,39.22621154785156,3,-0.07252652013904437,0.027220041415698473,-0.11261367897636124
08013,Anxiety,First Covid Death,2020-03-27,2020-03-22,0.6342765226670057,-0.05631720817552299,0.716310260480884,-0.13835094598940123,-19.31,4,0.0820337378138783,0.1677808259513705,-0.6155182125423102,False,8013,36.0,1.6375079154968262,49.78428268432617,5.880877494812012,13.616360664367676,2.8000000000000056,2.235748767852783,2019.5047619047618,0.9965776889629308,0.022827303037047386,0.013266936875879765,2.2047266960144043,20.620441436767578,3,-0.2809148067386732,-0.1071788822744219,-0.4695264376966017
08013,Depression,First Covid Death,2020-03-27,2020-03-22,0.4755393784762605,0.14411165587304975,0.7471013508606079,-0.12745031651129768,-17.06,4,0.2715619723843474,0.18085883552397417,-0.7047118395244106,False,8013,36.0,1.6375079154968262,49.78428268432617,5.880877494812012,13.616360664367676,2.8000000000000056,2.235748767852783,2019.5047619047618,0.9965776889629308,0.022827303037047386,0.013266936875879765,2.2047266960144043,20.620441436767578,3,-0.2809148067386732,-0.1071788822744219,-0.4695264376966017
